url,host_kind,status,error
https://business.gov.au/grants-and-programs/manufacturing-modernisation-fund-round-1   https://www.minister.industry.gov.au/ministers/karenandrews/media-releases/fund-modernise-manufacturing   https://business.gov.au/grants-and-programs/manufacturing-mode,original,,InvalidURL: URL can't contain control characters. '/grants-and-programs/manufacturing-modernisation-fund-round-1   https://www.minister.industry.gov.au/ministers/karenandrews/media-releases/fund-modernise-manufacturing   https://business.gov.au/grants-and-programs/manufacturing-mode' (found at least ' ')
https://busquedas.elperuano.pe/dispositivo/NL/2192926-1   http://www.pcm.gob.pe/wp-content/uploads/2024/02/POI-2024-V2-PLIEGO.pdf   https://cdn.www.gob.pe/uploads/document/file/353216/decreto-legislativo-que-aprueba-la-ley-de-gobierno-digital-decreto-legi,original,,InvalidURL: URL can't contain control characters. '/dispositivo/NL/2192926-1   http://www.pcm.gob.pe/wp-content/uploads/2024/02/POI-2024-V2-PLIEGO.pdf   https://cdn.www.gob.pe/uploads/document/file/353216/decreto-legislativo-que-aprueba-la-ley-de-gobierno-digital-decreto-legi' (found at least ' ')
https://caidg.smu.edu.sg,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://caipm.kau.edu.sa/Default-838990-ar,original,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
https://carnegieendowment.org/2022/01/04/china-s-new-ai-governance-initiatives-shouldn-t-be-ignored-pub-86127   https://cset.georgetown.edu/publication/ethical-norms-for-new-generation-artificial-intelligence-released/,original,,InvalidURL: URL can't contain control characters. '/2022/01/04/china-s-new-ai-governance-initiatives-shouldn-t-be-ignored-pub-86127   https://cset.georgetown.edu/publication/ethical-norms-for-new-generation-artificial-intelligence-released/' (found at least ' ')
https://carnegieendowment.org/2022/01/04/china-s-new-ai-governance-initiatives-shouldn-t-be-ignored-pub-86127   https://digichina.stanford.edu/work/translation-guiding-opinions-on-strengthening-overall-governance-of-internet-information-service-algorithms,original,,InvalidURL: URL can't contain control characters. '/2022/01/04/china-s-new-ai-governance-initiatives-shouldn-t-be-ignored-pub-86127   https://digichina.stanford.edu/work/translation-guiding-opinions-on-strengthening-overall-governance-of-internet-information-service-algorithms' (found at least ' ')
https://bmdv.bund.de/SharedDocs/DE/Anlage/DG/aktionsplan-ki.pdf?__blob=publicationFile,original,404,HTTPError 404
https://bmdv.bund.de/EN/Topics/Digital-Matters/mFund/mFund.html,original,404,HTTPError 404
https://bmdv.bund.de/SharedDocs/EN/Articles/DG/act-on-autonomous-driving.html,original,404,HTTPError 404
https://cdn.www.gob.pe/uploads/document/file/1909267/National%20Artificial%20Intelligence%20Strategy%20-%20Peru.pdf?v=1630689882   http://www.pcm.gob.pe/wp-content/uploads/2024/02/POI-2024-V2-PLIEGO.pdf,original,,InvalidURL: URL can't contain control characters. '/uploads/document/file/1909267/National%20Artificial%20Intelligence%20Strategy%20-%20Peru.pdf?v=1630689882   http://www.pcm.gob.pe/wp-content/uploads/2024/02/POI-2024-V2-PLIEGO.pdf' (found at least ' ')
https://cdn.www.gob.pe/uploads/document/file/1909267/National%20Artificial%20Intelligence%20Strategy%20-%20Peru.pdf?v=1630689882   https://www.gob.pe/13517-participar-de-la-estrategia-nacional-de-inteligencia-artificial   https://www.youtube.com/watch?v=z,original,,InvalidURL: URL can't contain control characters. '/uploads/document/file/1909267/National%20Artificial%20Intelligence%20Strategy%20-%20Peru.pdf?v=1630689882   https://www.gob.pe/13517-participar-de-la-estrategia-nacional-de-inteligencia-artificial   https://www.youtube.com/watch?v=z' (found at least ' ')
https://chmura.gov.pl/informacje/czym-jest-zuch,original,,URLError: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
https://chmura.gov.pl/zuch/news/cztery-projekty-ipcei-cis-otrzymaly-dofinansowanie-w-ramach-krajowego-planu-odbudowy,original,,URLError: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
https://cis-legislation.com/document.fwx?rgn=130974   http://isrs.uz/en/page/pdf/eldor-aripov-strategia-cifrovoj-uzbekistan-2030-predpolagaet-rad-proryvnyh-dla-strany-mer,original,,InvalidURL: URL can't contain control characters. '/document.fwx?rgn=130974   http://isrs.uz/en/page/pdf/eldor-aripov-strategia-cifrovoj-uzbekistan-2030-predpolagaet-rad-proryvnyh-dla-strany-mer' (found at least ' ')
https://cbddo.gov.tr/SharedFolderServer/Genel/File/UlusalYapayZekaStratejisi2024-2025EylemPlani.pdf,original,,URLError: <urlopen error timed out>
https://cbddo.gov.tr/en/nais,original,,URLError: <urlopen error timed out>
