id,collection,title,date,page_url,source_urls,canonical_url,reason
iaae-ethics-4384325,iaae-ethics,[카카오] 알고리즘 윤리 헌장,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4384325,,,no-original-landing
iaae-ethics-4384245,iaae-ethics,[방송통신위원회] 이용자 중심의 지능정보사회를 위한 원칙,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4384245,,,no-original-landing
iaae-ethics-4384190,iaae-ethics,[한국과학기술기획평가원] 인공지능 기술 발전에 따른 이슈 및 대응 방안,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4384190,,,no-original-landing
iaae-ethics-4384135,iaae-ethics,[IEEE] 윤리적 인공지능 시스템 개발을 위한 설계 계획,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4384135,,,no-original-landing
iaae-ethics-4384062,iaae-ethics,[EU 집행위원회] 신뢰할 수 있는 AI 윤리 가이드라인,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4384062,,,no-original-landing
iaae-ethics-4383949,iaae-ethics,[몬트리올대학교] AI윤리원칙 몬트리올 선언 (Montréal Declaration),2020-08-04,https://iaae.ai/research/?bmode=view&idx=4383949,,,no-original-landing
iaae-ethics-4383901,iaae-ethics,[로마교황청] 로마교황청 발표 AI 윤리 백서 '로마 콜(Rome Call)',2020-08-04,https://iaae.ai/research/?bmode=view&idx=4383901,,,no-original-landing
iaae-ethics-4383715,iaae-ethics,[정보통신정책연구원] 4차산업혁명 시대 산업별 인공지능 윤리이슈 분석 및 정책적 대응방안,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4383715,,,no-original-landing
iaae-ethics-4383692,iaae-ethics,[한국정보화진흥원] 인공지능 윤리 가이드라인,2020-08-04,https://iaae.ai/research/?bmode=view&idx=4383692,,,no-original-landing
iaae-ethics-2868466,iaae-ethics,[KAIEA] KAIEA 인공지능 윤리 헌장_191219개정 (영문본),2019-12-19,https://iaae.ai/research/?bmode=view&idx=2868466,,,no-original-landing
iaae-ethics-2868459,iaae-ethics,[KAIEA] KAIEA 인공지능 윤리 헌장_191219개정 (한글본),2019-12-19,https://iaae.ai/research/?bmode=view&idx=2868459,,,no-original-landing
iaae-ethics-2577878,iaae-ethics,[KAIEA] KAIEA 인공지능 윤리 헌장 (영문본),2019-10-23,https://iaae.ai/research/?bmode=view&idx=2577878,,,no-original-landing
iaae-ethics-2577871,iaae-ethics,[KAIEA] KAIEA 인공지능 윤리 헌장 (한글본),2019-10-23,https://iaae.ai/research/?bmode=view&idx=2577871,,,no-original-landing
agora-6726,agora,South Carolina S 1037 (Protecting Children From Chatbots Act 2026),2026-03-19,,,,no-original-landing
agora-3764,agora,New York S933 (Establishes the position of chief artificial intelligence officer),2026-03-05,,,,no-original-landing
agora-2097,agora,Texas Responsible Artificial Intelligence Governance Act (HB 149),2025-06-22,,,,no-original-landing
agora-2722,agora,"New York Senate Bill S3008C (""Part X"")",2025-05-09,,,,no-original-landing
agora-2723,agora,"New York Senate Bill S3008C (""Part U"")",2025-05-09,,,,no-original-landing
agora-2980,agora,Arkansas HB 1876 (Ownership of Model Training and Content Generated by a Generative Artificial Intelligence Tool 2025),2025-04-15,,,,no-original-landing
agora-1997,agora,Illinois HB 3506,2025-02-18,,,,no-original-landing
agora-1991,agora,Illinois SB2203,2025-02-07,,,,no-original-landing
agora-1970,agora,Meta Frontier AI Framework (Version 1.1),2025-02-03,,,,no-original-landing
agora-307,agora,"Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence",2025-01-20,,,,no-original-landing
agora-1993,agora,Massachusetts House Docket 4053 (2025),2025-01-17,,,,no-original-landing
agora-1763,agora,Executive Order on Advancing United States Leadership in Artificial Intelligence Infrastructure (EO 14141),2025-01-14,,,,no-original-landing
agora-1829,agora,Massachusetts HD 396 (2025-2026),2025-01-08,,,,no-original-landing
agora-1385,agora,"Memorandum on Advancing the United States’ Leadership in Artificial Intelligence; Harnessing Artificial Intelligence to Fulfill National Security Objectives; and Fostering the Safety, Security, and Tr",2024-10-24,,,,no-original-landing
agora-1387,agora,Framework to Advance AI Governance and Risk Management in National Security,2024-10-24,,,,no-original-landing
agora-1336,agora,Public Act 103-0804,2024-08-09,,,,no-original-landing
agora-1504,agora,Illinois House Bill 4875,2024-08-09,,,,no-original-landing
agora-1729,agora,Massachusetts House Bill 4885,2024-07-25,,,,no-original-landing
agora-2039,agora,National Artificial Intelligence Strategy 2024-2025 Action Plan (Turkey),2024-07-24,,,,no-original-landing
agora-2210,agora,New Hampshire H1688 (2024),2024-07-22,,,,no-original-landing
agora-1431,agora,New Hampshire House Bill 1432,2024-07-19,,,,no-original-landing
agora-1721,agora,Idaho House Bill 2472,2024-07-19,,,,no-original-landing
agora-1432,agora,New Hampshire House Bill 1688,2024-07-12,,,,no-original-landing
agora-1777,agora,"Illinois HB 4844 (2024), Section 90 (""Generative AI and Natural Language Processing Task Force"")",2024-07-01,,,,no-original-landing
agora-1499,agora,Idaho House Bill 575,2024-07-01,,,,no-original-landing
agora-2212,agora,New Jersey Assembly Resolution 141 (2024),2024-06-28,,,,no-original-landing
agora-357,agora,New Jersey Bill A537,2024-06-16,,,,no-original-landing
agora-2042,agora,"Los Angeles AI Roadmap 2024, Best Practices and Roadmap",2024-06-04,https://drive.google.com/file/d/12gbVV3Qk7qixa9BU8g8zcA5LZbnDPUsk/view,https://drive.google.com/file/d/12gbVV3Qk7qixa9BU8g8zcA5LZbnDPUsk/view,,no-original-landing
agora-1768,agora,South Carolina 2023 H 4754 (Section 4),2024-05-21,,,,no-original-landing
agora-1531,agora,Tennessee House Bill 2163 (Sexual Exploitation of Children),2024-05-13,,,,no-original-landing
agora-2035,agora,"St Louis, MO Board Bill Number 185 2023-24",2024-05-06,,,,no-original-landing
agora-1021,agora,NSTC/OSTP Framework for Nucleic Acid Synthesis Screening,2024-04-29,,,,no-original-landing
agora-1033,agora,Increasing AI Capacity Across the Federal Government: AI Talent Surge Progress and Recommendations,2024-04-26,,,,no-original-landing
agora-1716,agora,"Nebraska L 1284 (Teacher Incentive Programs), Sec. 2.",2024-04-25,,,,no-original-landing
agora-1769,agora,Oregon Senate Bill 5701,2024-04-17,,,,no-original-landing
agora-1454,agora,Virginia Senate Bill 487,2024-04-08,,,,no-original-landing
agora-1536,agora,Virginia 2024 SB 731,2024-03-28,,,,no-original-landing
agora-284,agora,An Act preventing a dystopian work environment.,2024-03-28,,,,no-original-landing
agora-1528,agora,Oregon Senate Bill 1571,2024-03-27,,,,no-original-landing
agora-1439,agora,Oregon House Bill 4153,2024-03-27,,,,no-original-landing
agora-1500,agora,Idaho House Bill 664 (Freedom From AI-Rigged Elections Act),2024-03-25,,,,no-original-landing
agora-1460,agora,Wisconsin Act 2023-123 (Artificial Intelligence Content Disclosure),2024-03-21,,,,no-original-landing
agora-308,agora,"An act to amend the general business law, in relation to requiring advertisements to disclose the use of synthetic media",2024-03-03,,,,no-original-landing
agora-2034,agora,Executive order No. 78 (St. Louis),2024-02-23,,,,no-original-landing
agora-2068,agora,State of North Dakota Artificial Intelligence Policy,2024-02-08,,,,no-original-landing
agora-2062,agora,Maryland State Executive Order 01.01.2024.02,2024-01-08,,,,no-original-landing
agora-299,agora,"An act to amend the executive law, in relation to creating the office of  algorithmic innovation",2024-01-03,,,,no-original-landing
agora-1505,agora,Illinois Senate Bill 382,2023-12-08,,,,no-original-landing
agora-2074,agora,State of Ohio Administrative Policy on AI,2023-12-04,,,,no-original-landing
agora-2037,agora,City of St. Louis Information Technology Policy #2023-001 Guidance on Generative AI,2023-10-09,,,,no-original-landing
agora-2250,agora,Virginia Executive Directive 5 (2023),2023-09-20,,,,no-original-landing
agora-2013,agora,County of Santa Cruz Artificial Intelligence Appropriate Use Policy,2023-09-19,,,,no-original-landing
agora-371,agora,Illinois HB 3563,2023-08-04,,,,no-original-landing
agora-1501,agora,Illinois House Bill 2123,2023-07-28,,,,no-original-landing
agora-758,agora,Voluntary Commitments from Leading Artificial Intelligence Companies,2023-07-21,,,,no-original-landing
agora-290,agora,An Act regulating the use of artificial intelligence (AI) in providing mental health services.,2023-06-29,,,,no-original-landing
agora-2171,agora,Rhode Island House Resolution 6423,2023-06-13,,,,no-original-landing
agora-379,agora,Pennsylvania HB 1380,2023-06-12,,,,no-original-landing
agora-294,agora,An act relating to state affairs and government -- commission to monitor the use of artificial intelligence in state government.,2023-05-25,,,,no-original-landing
agora-1112,agora,National Artificial Intelligence Research and Development Strategic Plan 2023 Update,2023-05-04,,,,no-original-landing
agora-309,agora,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in sexual offenses, providing for the offense of unlawful dissemination of artificially generated depiction; a",2023-04-28,,,,no-original-landing
